"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Kyle Hart","SD","SP,RP","64.2","54","0","0","1","4.57","1.36","33","63","24","9","28","3","4"
"Ryan Gusto","MIA","SP,RP","63.1","53","0","0","1","4.57","1.36","32","64","22","9","34","3","4"
"Jose Leclerc","","RP","43.9","48","0","1","1","4.19","1.33","20","38","20","6","44","2","2"
"Hayden Harris","ATL","RP","35.3","39","0","0","1","3.98","1.31","16","31","15","4","35","2","2"
"Craig Yoho","MIL","RP","35.5","38","0","0","1","3.92","1.32","15","31","16","4","35","2","2"
"Jonathan Cannon","CWS","SP,RP","105.7","78","0","0","1","4.91","1.40","58","111","37","16","31","4","7"
"Hayden Birdsong","SF","SP,RP","57.2","57","0","0","1","4.58","1.41","29","52","28","8","22","3","3"
"Joey Wentz","ATL","SP,RP","55.4","53","0","0","1","4.62","1.40","28","55","23","8","31","3","3"
"Colton Gordon","HOU","SP,RP","42.7","37","0","0","1","4.33","1.28","21","43","12","7","33","2","2"
"Justin Hagenman","NYM","RP","32.2","29","0","0","1","4.17","1.22","15","31","8","5","28","2","1"
"Taijuan Walker","PHI","SP,RP","114.7","80","0","0","1","4.98","1.43","63","122","42","19","41","5","7"
"Dylan Dodd","ATL","RP","40.1","34","0","0","1","4.23","1.29","19","41","11","5","37","2","2"
"Cooper Criswell","SEA","RP","37.6","31","0","0","1","4.11","1.30","17","37","12","4","27","2","2"
"Andrew Walters","CLE","RP","31.7","37","0","0","1","4.10","1.34","14","27","16","4","32","2","2"
"Ron Marinaccio","SD","RP","42.0","41","0","0","1","4.31","1.35","20","38","19","6","40","2","2"
"James McArthur","KC","RP","35.7","32","0","0","1","4.16","1.31","17","35","12","4","35","2","2"
"Craig Kimbrel","NYM","RP","31.0","37","0","0","1","4.18","1.34","14","25","16","4","31","2","2"
"AJ Blubaugh","HOU","SP,RP","46.7","43","0","0","1","4.44","1.35","23","43","20","7","34","2","3"
"Easton McGee","MIL","RP","32.1","28","0","0","1","4.10","1.29","15","31","10","4","29","2","1"
"Anthony Nunez","BAL","RP","25.4","28","0","0","1","3.95","1.29","11","22","11","3","25","2","1"
"Andre Granillo","STL","RP","36.5","36","0","0","1","4.27","1.34","17","33","16","5","34","2","2"
"Drew Smith","","RP","40.5","41","0","0","1","4.42","1.35","20","37","18","6","40","2","2"
"Carlos Rodriguez","MIL","RP","43.2","39","0","0","1","4.46","1.33","21","40","17","6","29","2","2"
"Zak Kent","TEX","RP","36.9","36","0","0","1","4.18","1.37","17","34","17","4","34","2","2"
"Ethan Roberts","CHC","RP","37.2","36","0","0","1","4.32","1.34","18","35","15","5","37","2","2"
"Cristian Mena","ARI","SP,RP","33.5","31","0","0","1","4.11","1.34","15","32","13","4","19","2","2"
"Evan Phillips","","RP","22.1","24","0","0","1","3.48","1.16","9","19","7","2","22","1","1"
"Kyle Hurt","LAD","RP","33.9","35","0","0","1","4.25","1.36","16","30","16","4","16","2","1"
"Dylan Smith","DET","RP","37.8","33","0","0","1","4.22","1.36","18","35","16","4","35","2","2"
"Trent Thornton","CHC","RP","31.7","27","0","0","1","4.30","1.29","15","31","10","4","30","2","1"
"Mitch Spence","ATH","SP,RP","38.8","32","0","0","1","4.42","1.33","19","40","11","5","30","2","2"
"Michael Tonkin","MIN","RP","35.3","33","0","0","1","4.49","1.32","18","34","13","5","33","2","2"
"Chris Murphy","CWS","RP","37.9","34","0","0","1","4.22","1.39","18","35","18","4","33","2","2"
"Osvaldo Bido","LAA","SP,RP","47.9","44","0","0","1","4.62","1.37","25","46","19","7","33","2","3"
"Kai-Wei Teng","SF","SP,RP","35.1","35","0","0","1","4.38","1.37","17","33","16","4","16","2","2"
"Reiver Sanmartin","SF","RP","40.3","29","0","0","1","4.14","1.38","19","42","13","4","38","2","2"
"Eli Morgan","","RP","41.2","36","0","0","1","4.57","1.34","21","40","15","6","40","2","2"
"Ty Adcock","SD","RP","34.7","32","0","0","1","4.44","1.34","17","33","13","5","33","2","2"
"Joey Lucchesi","","RP","46.1","35","0","0","1","4.33","1.39","22","46","18","5","44","2","2"
"Luinder Avila","KC","RP","36.6","32","0","0","1","4.24","1.39","17","35","16","4","34","2","2"
"Robinson Ortiz","SEA","SP,RP","34.2","32","0","0","1","4.21","1.40","16","31","17","4","34","2","2"
"Tim Mayza","PHI","RP","29.2","24","0","0","1","4.09","1.35","13","30","10","3","30","2","1"
"Grant Wolfram","BAL","RP","30.0","29","0","0","1","4.17","1.39","14","29","13","3","29","2","2"
"Jason Alexander","HOU","SP,RP","54.2","42","0","0","1","4.61","1.38","28","56","19","7","27","2","3"
"Kolby Allard","","SP,RP","46.0","35","0","0","1","4.52","1.37","23","48","15","7","40","2","2"
"Josh Simpson","MIA","RP","38.8","37","0","0","1","4.33","1.44","19","36","20","4","39","2","2"
"Hector Neris","KC","RP","28.0","29","0","0","1","4.37","1.37","14","25","13","4","28","2","2"
"Nick Raquet","STL","RP","34.2","27","0","0","1","4.30","1.37","16","35","12","4","33","2","2"
"Luis Perales","WSH","SP,RP","35.5","34","0","0","1","4.43","1.41","17","33","17","4","22","2","2"
"Tayler Saucedo","LAA","RP","34.2","30","0","0","1","4.31","1.41","16","33","15","4","35","2","2"
"Pedro Avila","CLE","RP","34.8","31","0","0","1","4.42","1.40","17","34","15","4","26","2","2"
"Chase Lee","TOR","RP","24.5","24","0","0","1","4.07","1.25","11","23","8","3","23","1","1"
"Blade Tidwell","SF","SP,RP","28.4","25","0","0","1","4.38","1.37","14","28","12","4","18","2","2"
"Brandan Bidois","PIT","RP","38.5","36","0","0","1","4.46","1.44","19","36","19","5","38","2","3"
"Keaton Winn","SF","SP,RP","27.9","25","0","0","1","4.12","1.28","13","27","8","3","23","1","1"
"Chase Shugart","PHI","RP","37.9","31","0","0","1","4.57","1.38","19","37","15","5","35","2","2"
"Bryan Hudson","CWS","RP","29.4","27","0","0","1","4.06","1.33","13","27","12","3","27","1","1"
"Keegan Thompson","COL","RP","35.7","35","0","0","1","4.62","1.42","18","35","16","5","32","2","2"
"Chris Roycroft","STL","RP","41.4","33","0","0","1","4.37","1.45","20","41","19","4","39","2","2"
"Scott Alexander","","RP","32.3","23","0","0","1","4.24","1.41","15","34","12","3","34","2","2"
"Yosver Zulueta","SEA","RP","23.7","25","0","0","1","3.86","1.35","10","20","12","2","22","1","1"
"Jonathan Pintaro","NYM","SP,RP","28.5","27","0","0","1","4.02","1.36","13","26","13","3","24","1","1"
"Luke Little","CHC","RP","21.7","24","0","0","1","3.68","1.37","9","17","13","2","22","1","1"
"Felix Bautista","BAL","RP","12.2","16","0","0","1","3.22","1.17","4","9","6","1","12","1","1"
"Michael Petersen","MIA","RP","34.6","33","0","0","1","4.39","1.36","17","33","14","5","33","1","1"
"Garrett Hawkins","SD","RP","25.4","26","0","0","1","4.19","1.33","12","23","11","4","25","1","1"
"Colin Poche","","RP","32.9","30","0","0","1","4.68","1.41","17","30","16","5","34","2","2"
