Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shota Imanaga","CHC",8,7,,3.96185,25,25,0,0,,136.3,556,126,65,60,24,31,0,4,125,8.25385,2.04696,4.03226,1.58474,0.22482,0.0557554,0.1690647415816784,0.241843,1.15187,0.274194,0.745543,,,4.36037,1.59511,1.95523,999,,,,,,,530.8200225830079,3.8944975106232187,514.5000152587891,3.774761582825612,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Emmet Sheehan","LAD",5,4,,3.98864,24,17,0,1,,88,363,72,42,39,12,31,1,4,101,10.3295,3.17045,3.25806,1.22727,0.278237,0.0853994,0.19283747673034668,0.219512,1.17045,0.27907,0.707657,,,3.80559,1.5939,1.24851,999,,,,,,,417.40000000000003,4.743181818181818,385,4.375,,,,,,,,,,,,,,,,,,,"Emmet Sheehan","29839",686218
"Grayson Rodriguez","LAA",5,6,,4.09514,19,19,0,0,,96.7,411,90,48,44,13,32,0,4,101,9.40021,2.97828,3.15625,1.20993,0.245742,0.0778589,0.16788321733474731,0.24,1.26163,0.295019,0.712909,,,3.91073,1.58391,1.21338,999,,,,,,,415.6799774169923,4.298655538112182,408.49998474121094,4.224405352979038,,,,,,,,,,,,,,,,,,,"Grayson Rodriguez","24492",680570
"Payton Tolle","BOS",5,4,,4.14706,28,21,0,1,,102,431,95,51,47,15,30,0,3,106,9.35294,2.64706,3.53333,1.32353,0.24594,0.0696056,0.17633410543203354,0.238693,1.22549,0.288809,0.711538,,,3.93906,1.58163,1.3294,999,,,,,,,440.30000000000007,4.316666666666667,432,4.235294117647059,,,,,,,,,,,,,,,,,,,"Payton Tolle","35466",801139
"Matthew Liberatore","STL",8,9,,4.10023,31,24,0,0,,131.7,560,127,65,60,15,41,1,6,111,7.58542,2.80182,2.70732,1.02506,0.198214,0.0732143,0.1250000074505806,0.247563,1.27563,0.289406,0.70068,,,4.00074,1.57975,1.56237,999,,,,,,,540.8799774169922,4.106909566820695,544.4999847412109,4.134396335295271,,,,,,,,,,,,,,,,,,,"Matthew Liberatore","22294",669461
"Ryan Weiss","HOU",8,9,,4.16912,26,23,0,0,,136,584,124,68,63,19,50,0,10,139,9.19853,3.30882,2.78,1.25735,0.238014,0.0856164,0.1523972600698471,0.236641,1.27941,0.286885,0.719132,,,4.23072,1.57535,1.4999,999,,,,,,,548.3000000000001,4.031617647058824,531,3.9044117647058822,,,,,,,,,,,,,,,,,,,"Ryan Weiss","sa3007778",680802
"Kyle Freeland","COL",7,10,,4.86667,26,26,0,0,,135,592,154,79,73,20,35,1,5,100,6.66667,2.33333,2.85714,1.33333,0.168919,0.0591216,0.10979730263352394,0.278986,1.4,0.310185,0.68323,,,4.46847,1.57166,1.53853,999,,,,,,,432.6,3.2044444444444444,495,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Kyle Freeland","16256",607536
"Nathan Eovaldi","TEX",6,6,,3.90566,18,18,0,0,,106,436,96,50,46,14,28,1,4,96,8.15094,2.37736,3.42857,1.18868,0.220183,0.0642202,0.15596330910921097,0.237624,1.16981,0.278912,0.708812,,,3.94646,1.56895,1.46512,999,,,,,,,458.6,4.326415094339623,444,4.188679245283019,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Logan Allen","CLE",8,9,,4.13496,27,26,0,1,,139.3,605,138,69,64,18,53,0,5,116,7.49462,3.42426,2.18868,1.16296,0.191736,0.0876033,0.10413222759962082,0.252285,1.37114,0.290557,0.735826,,,4.3986,1.56709,1.5844,999,,,,,,,512.6200225830078,3.6799713664940876,524.5000152587891,3.765254872707416,,,,,,,,,,,,,,,,,,,"Logan Allen","27589",671106
"Tylor Megill","NYM",6,6,,4.21875,21,21,0,0,,96,418,87,49,45,11,41,0,6,105,9.84375,3.84375,2.56098,1.03125,0.251196,0.0980861,0.1531100496649742,0.234501,1.33333,0.298039,0.701599,,,3.90597,1.5623,0.963817,999,,,,,,,417.90000000000015,4.353125000000001,406,4.229166666666667,,,,,,,,,,,,,,,,,,,"Tylor Megill","21318",656731
