Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Estibenzon Jimenez","PHI",0.0476,0.0717,0.0534,5.3127,0.2513,0.1593,0,0,,1,4.425,1.0946,0.6275,0.5903,0.185556,0.3665,0.0061,0.0504,0.6632,5.9688,3.2985,1.80955,1.67,0.149876,0.0828249,0.06705084443092346,0.273097,1.4611,0.287732,0.693902,0.378266,,5.47166,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Estibenzon Jimenez","sa3015983",693732
"Jogly Garcia","CLE",0.0434,0.0767,0.0537,5.40342,0.2323,0.1633,0,0,,1,4.531,1.0704,0.6401,0.60038,0.164222,0.5076,0.0058,0.0485,0.7312,6.5808,4.5684,1.4405,1.478,0.161377,0.112028,0.04934892803430557,0.26929,1.578,0.294263,0.695726,0.404685,,5.47593,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jogly Garcia","sa3019633",805702
"Luis Angel Rodriguez","HOU",0.0485,0.0685,0.0485,5.21109,0.3313,0.1423,0,0,,1,4.498,1.0535,0.6181,0.57901,0.163889,0.4929,0.0085,0.0525,0.7126,6.4134,4.4361,1.44573,1.475,0.158426,0.109582,0.04884392023086548,0.266533,1.5464,0.2892,0.704883,0.396536,,5.47669,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luis Angel Rodriguez","sa3005435",678296
"Herick Hernandez","ATL",0.0501,0.0711,0.059,5.33511,0.1829,0.1739,0,0,,1,4.591,1.0421,0.6329,0.59279,0.150333,0.6078,0.0044,0.0471,0.7879,7.0911,5.4702,1.29631,1.353,0.171618,0.132389,0.03922891616821289,0.264754,1.6499,0.297467,0.706528,0.401985,,5.47837,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Herick Hernandez","sa3025588",803349
"Anderson Brito","TBR",0.0448,0.0769,0.0582,5.41026,0.1754,0.1754,0,0,,1,4.539,1.0616,0.6413,0.60114,0.166667,0.531,0.0042,0.0479,0.78,7.02,4.779,1.46893,1.5,0.171844,0.116986,0.054857879877090454,0.268074,1.5926,0.296981,0.699863,0.415584,,5.4785,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Anderson Brito","sa3024232",820901
"Luis Quinones","MIN",0.045,0.0745,0.051,5.45355,0.2505,0.1595,0,0,,1,4.51,1.0621,0.6417,0.60595,0.176,0.4808,0.0062,0.0438,0.7589,6.8301,4.3272,1.57841,1.584,0.16827,0.106608,0.06166296452283859,0.266498,1.5429,0.290477,0.695102,0.343003,,5.47914,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luis Quinones","sa1170867",687879
"Orlando Ortiz-Mayr","MIA",0.0431,0.0778,0.0564,5.36211,0.2068,0.1688,0,0,,1,4.537,1.1033,0.6384,0.59579,0.150333,0.4848,0.005,0.0579,0.6181,5.5629,4.3632,1.27496,1.353,0.136235,0.106855,0.029380634427070618,0.276219,1.5881,0.295414,0.689371,0.441205,,5.48137,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Orlando Ortiz-Mayr","sa3018181",689508
"Jose Atencio",,0.0458,0.0752,0.0575,5.38029,0.1911,0.1721,0,0,,1,4.496,1.1602,0.6411,0.59781,0.158444,0.399,0.0045,0.045,0.5224,4.7016,3.591,1.30927,1.426,0.116192,0.0887455,0.027446627616882324,0.286328,1.5592,0.297155,0.686493,0.450014,,5.48211,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jose Atencio","sa3010304",682719
"Jacob Bresnahan","SFG",0.0441,0.0776,0.0591,5.36265,0.1754,0.1754,0,0,,1,4.589,1.0739,0.6358,0.59585,0.151667,0.5569,0.0042,0.0377,0.7037,6.3333,5.0121,1.2636,1.365,0.153345,0.121355,0.031989529728889465,0.268851,1.6308,0.293795,0.701462,0.388884,,5.4832,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jacob Bresnahan","sa3023066",815298
"Logan Clayton",,0.0443,0.0761,0.0495,5.68863,0.2183,0.1663,0,0,,1,4.556,1.1818,0.674,0.63207,0.155667,0.4341,0.0054,0.0488,0.5621,5.0589,3.9069,1.29486,1.401,0.123376,0.0952809,0.028094813227653503,0.290148,1.6159,0.305822,0.673764,0.426584,,5.4833,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Logan Clayton","sa3020890",700875
"Christian Romero","LAD",0.052,0.0657,0.0499,5.26887,0.3032,0.1482,0,0,,1,4.455,1.1101,0.6262,0.58543,0.173889,0.384,0.0076,0.0636,0.6267,5.6403,3.456,1.63203,1.565,0.140673,0.0861953,0.05447810888290405,0.277013,1.4941,0.291945,0.693956,0.433632,,5.48509,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Christian Romero","sa3016260",699071
"Luke Fox","LAD",0.0545,0.0664,0.0614,5.2092,0.1829,0.1739,0,0,,1,4.484,1.0354,0.6162,0.5788,0.178111,0.4967,0.0043,0.0437,0.79,7.11,4.4703,1.5905,1.603,0.176182,0.110772,0.06541034579277039,0.262552,1.5321,0.288117,0.714016,0.381489,,5.49178,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luke Fox","sa3023673",803183
"Jamison Hill",,0.0449,0.0724,0.0454,5.40468,0.3313,0.1423,0,0,,1,4.506,1.0973,0.6395,0.60052,0.168556,0.4506,0.0085,0.0495,0.6674,6.0066,4.0554,1.48114,1.517,0.148114,0.1,0.0481136217713356,0.273921,1.5479,0.292984,0.692419,0.392984,,5.49186,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jamison Hill","sa3017935",695318
"Tommy Romero",,0.0443,0.07,0.0381,5.38587,0.4286,0.1216,0,0,,1,4.496,1.0878,0.6367,0.59843,0.172556,0.4573,0.0109,0.0401,0.6893,6.2037,4.1157,1.50733,1.553,0.153314,0.101713,0.051601432263851166,0.272045,1.5451,0.291782,0.696881,0.386018,,5.49196,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Tommy Romero","23465",676720
"Chandler Murphy","TBR",0.0435,0.0743,0.0468,5.44725,0.3131,0.1461,0,0,,1,4.507,1.1419,0.6472,0.60525,0.169,0.4206,0.008,0.0496,0.625,5.625,3.7854,1.48597,1.521,0.138673,0.0933215,0.04535166919231415,0.282873,1.5625,0.300018,0.690324,0.442631,,5.49274,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Chandler Murphy","sa3023123",686489
