Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Trey Mancini","LAA",82,337,306,71,48,13,0,10,37,38,22,2,90,6,3,0,7,1,0,0.232026,0.0652819,0.267062,0.244444,0.293769,0.372549,0.290053,0.666318,0.140523,2.5572,0.291866,,-0.288524,33.5256,-6.29354,83.1726,-0.288524,0.4,-6.9722678661346436,-5.79121121764183,-0.119142,999,,,,,,,309.2,3.770731707,309.2,3.770731707,,,,,,,,,,,,,,,,,,,"Trey Mancini","15149",641820
"Orelvis Martinez","WSN",109,445,400,77,43,17,1,16,44,51,34,1,130,7,4,0,11,1,0,0.1925,0.0764045,0.292135,0.261538,0.265169,0.36,0.273162,0.625169,0.1675,2.97841,0.236434,,-0.347939,38.167,-14.4132,72.7302,-0.347939,-2.9,-14.730498760938644,-1.2649325132369995,-0.12177,999,,,,,,,361.5,3.316513761,361.5,3.316513761,,,,,,,,,,,,,,,,,,,"Orelvis Martinez","25967",682619
"Will Banfield","CIN",98,362,338,71,49,14,1,7,33,38,16,0,103,3,5,0,9,0,0,0.210059,0.0441989,0.28453,0.15534,0.248619,0.319527,0.248181,0.568145,0.109467,2.29911,0.274678,,-0.448914,23.7061,-19.067,50.7172,-0.448914,1.7,-21.593447029590607,8.350499868392944,-0.122685,999,,,,,,,228.7,2.333673469,228.7,2.333673469,,,,,,,,,,,,,,,,,,,"Will Banfield","23790",677943
"Jace Bohrofen","TOR",96,395,353,67,38,15,2,12,41,48,36,1,143,5,1,0,5,6,1,0.189802,0.0911392,0.362025,0.251748,0.273418,0.345609,0.273456,0.619027,0.155807,5.15023,0.276382,,0.275552,33.9726,-12.6996,73.5208,0.275552,1.6,-12.05192631483078,-2.7540563344955444,-0.123872,999,,,,,,,321.5,3.348958333,321.5,3.348958333,,,,,,,,,,,,,,,,,,,"Jace Bohrofen","sa3022653",690957
"Ahbram Liendo","BOS",125,477,435,95,80,10,2,3,47,36,35,0,142,3,3,1,3,23,6,0.218391,0.0733753,0.297694,0.246479,0.279412,0.271264,0.2495,0.550676,0.0528736,6.00588,0.313993,,1.3639,31.7476,-24.6136,52.2188,1.3639,6.1,-25.498717069625854,7.852645397186279,-0.125692,999,,,,,,,306.5,2.452,306.5,2.452,,,,,,,,,,,,,,,,,,,"Ahbram Liendo","sa3016173",699157
"Javi Vaz","KCR",110,492,427,98,76,15,3,4,56,42,43,1,59,6,2,14,3,12,2,0.229508,0.0873984,0.119919,0.728814,0.307531,0.306792,0.276983,0.614323,0.0772834,5.88487,0.256831,,0.762358,43.7244,-14.4092,72.3305,0.762358,-4.7,-15.282632768154144,-2.8922396898269653,-0.126973,999,,,,,,,384.2,3.492727272,384.2,3.492727272,,,,,,,,,,,,,,,,,,,"Javi Vaz","sa3019906",805834
"Orlando Martinez","TEX",89,370,335,78,56,16,2,4,36,32,28,0,78,1,4,2,5,3,2,0.232836,0.0756757,0.210811,0.358974,0.290761,0.328358,0.274043,0.619119,0.0955224,3.80999,0.287938,,-0.780177,31.999,-11.7193,74.7274,-0.780177,1.9,-11.801263630390167,-2.1784831285476685,-0.127374,999,,,,,,,284.3,3.194382022,284.3,3.194382022,,,,,,,,,,,,,,,,,,,"Orlando Martinez","sa3006664",678636
"Chris Taylor",,99,302,267,57,37,13,1,6,34,27,26,1,101,6,2,1,3,6,2,0.213483,0.0860927,0.334437,0.257426,0.295681,0.337079,0.281179,0.63276,0.123596,5.17901,0.314815,,-0.0679485,27.8678,-7.8158,77.0595,-0.0679485,-0.1,-8.233424328267574,-3.4289241805672646,-0.129732,999,,,,,,,253.8,2.563636363,253.8,2.563636363,,,,,,,,,,,,,,,,,,,"Chris Taylor","13757",621035
"Luke Williams","ATL",109,301,276,56,38,12,1,5,33,30,20,0,93,2,3,0,5,18,3,0.202899,0.0664452,0.30897,0.215054,0.259136,0.307971,0.251164,0.567107,0.105072,6.71751,0.281768,,1.97535,20.4402,-15.1252,57.1694,1.97535,0.9,-13.304357409477234,2.0059670209884644,-0.131374,999,,,,,,,216.9,1.989908256,216.9,1.989908256,,,,,,,,,,,,,,,,,,,"Luke Williams","19931",663897
"Felix Stevens",,99,383,344,69,41,14,1,13,41,49,32,0,155,5,2,0,7,2,1,0.200581,0.0835509,0.4047,0.206452,0.276762,0.360465,0.280719,0.637228,0.159884,3.45871,0.314607,,-0.524448,35.1991,-10.0553,79.6788,-0.524448,-0.1,-9.74895429611206,-4.321781255304813,-0.135895,999,,,,,,,322.9,3.261616161,322.9,3.261616161,,,,,,,,,,,,,,,,,,,"Felix Stevens","sa3008946",685474
"Carlos Sanchez","CIN",114,479,422,94,72,14,3,5,44,39,42,0,154,2,2,11,7,8,9,0.222749,0.0876827,0.321503,0.272727,0.294872,0.305687,0.270273,0.600559,0.0829384,4.41581,0.335849,,-2.85145,39.9594,-16.6381,65.8507,-2.85145,3.2,-22.238510131835938,4.959994196891785,-0.13731,999,,,,,,,331.1,2.904385964,331.1,2.904385964,,,,,,,,,,,,,,,,,,,"Carlos Sanchez","sa3018465",800176
"Jonny Butler",,91,374,337,69,45,16,3,5,34,36,32,0,105,4,1,0,2,8,1,0.204748,0.0855615,0.280749,0.304762,0.280749,0.31454,0.266567,0.595289,0.109792,5.92697,0.280702,,0.655747,30.0749,-14.1161,65.3526,0.655747,4.5,-14.616908431053162,0.3774251937866211,-0.139862,999,,,,,,,280.3,3.08021978,280.3,3.08021978,,,,,,,,,,,,,,,,,,,"Jonny Butler","sa3017292",695358
"Andrew McCutchen",,109,452,392,91,63,17,0,11,46,42,53,2,105,4,3,0,8,3,2,0.232143,0.117257,0.232301,0.504762,0.327434,0.359694,0.305424,0.687128,0.127551,2.32124,0.286738,,-0.998032,50.6068,-2.80045,92.9269,-0.998032,0,-4.787171959877014,-11.625514030456543,-0.140632,999,,,,,,,441.4,4.049541284,441.4,4.049541284,,,,,,,,,,,,,,,,,,,"Andrew McCutchen","9847",457705
"Juan Flores","LAA",99,385,353,69,49,13,0,7,37,40,14,0,118,10,2,6,11,1,1,0.195467,0.0363636,0.306494,0.118644,0.245383,0.291785,0.239257,0.537167,0.0963173,2.73133,0.269565,,-0.69144,22.4226,-23.0682,48.1806,-0.69144,2.5,-24.205380380153656,9.573045253753662,-0.14132,999,,,,,,,208,2.101010101,208,2.101010101,,,,,,,,,,,,,,,,,,,"Juan Flores","sa3021185",808129
"Ian Moller","TEX",87,338,302,52,37,11,1,3,25,22,33,1,116,1,1,1,4,5,1,0.172185,0.0976331,0.343195,0.284483,0.255193,0.245033,0.229068,0.500226,0.0728477,4.2115,0.266304,,0.128365,16.8892,-23.0481,43.7455,0.128365,3,-22.28186324238777,9.209582805633545,-0.147214,999,,,,,,,163.7,1.881609195,163.7,1.881609195,,,,,,,,,,,,,,,,,,,"Ian Moller","sa3017171",695744
"Pablo Aliendo",,91,367,336,64,39,14,1,10,33,43,21,0,147,7,2,1,9,1,1,0.190476,0.0572207,0.400545,0.142857,0.251366,0.327381,0.2554,0.578747,0.136905,2.95028,0.298343,,-0.651829,26.1844,-17.1794,62.3346,-0.651829,-3.4,-17.03518557548523,3.3423571586608887,-0.151694,999,,,,,,,245.8,2.701098901,245.8,2.701098901,,,,,,,,,,,,,,,,,,,"Pablo Aliendo","sa3006220",680846
"Brandon Winokur","MIN",121,527,487,100,63,21,2,14,60,60,29,1,162,9,2,0,7,14,4,0.205339,0.0550285,0.3074,0.179012,0.26186,0.342916,0.265089,0.604775,0.137577,5.89907,0.27476,,0.501763,41.7455,-20.5236,66.3954,0.501763,-1.2,-20.371073722839355,0.7363609075546265,-0.153083,999,,,,,,,406.3,3.357851239,406.3,3.357851239,,,,,,,,,,,,,,,,,,,"Brandon Winokur","sa3022613",806263
"Jordan Walker","STL",135,530,482,112,74,23,1,14,52,57,39,1,140,6,3,0,12,9,3,0.232365,0.0735849,0.264151,0.278571,0.296226,0.371369,0.292647,0.667596,0.139004,3.9759,0.296073,,-0.20755,53.842,-8.78161,88.206,-0.20755,-5.7,-7.6160425543785095,-11.54215145111084,-0.156023,999,,,,,,,492.9,3.651111111,492.9,3.651111111,,,,,,,,,,,,,,,,,,,"Jordan Walker","27475",691023
"Patrick Lee","DET",96,341,304,55,36,11,2,6,36,34,30,0,152,7,0,0,7,19,5,0.180921,0.0879765,0.445748,0.197368,0.269795,0.289474,0.254345,0.559268,0.108553,7.35225,0.335616,,1.27049,24.0375,-16.2543,59.5021,1.27049,5.5,-15.00595223903656,1.7411816120147705,-0.156344,999,,,,,,,236.8,2.466666666,236.8,2.466666666,,,,,,,,,,,,,,,,,,,"Patrick Lee","sa3023666",815268
"Dub Gleed","MIA",75,291,254,56,41,13,0,2,22,26,29,0,63,6,1,1,5,3,2,0.220472,0.0996564,0.216495,0.460317,0.313793,0.295276,0.279018,0.609069,0.0748032,2.48889,0.284211,,-0.720762,26.3423,-8.04164,75.3807,-0.720762,-3.1,-9.21182405948639,-2.0307759046554565,-0.159706,999,,,,,,,221.2,2.949333333,221.2,2.949333333,,,,,,,,,,,,,,,,,,,"Dub Gleed","sa3032302",801957
"Dillon Lewis","MIA",122,526,486,97,59,18,3,17,59,57,35,0,154,4,1,0,7,11,2,0.199588,0.0665399,0.292776,0.227273,0.258555,0.353909,0.268207,0.612465,0.154321,5.79699,0.253165,,0.734001,42.9981,-19.1529,67.9746,0.734001,-1.8,-19.231260180473328,0.13268673419952393,-0.163539,999,,,,,,,418.6,3.43114754,418.6,3.43114754,,,,,,,,,,,,,,,,,,,"Dillon Lewis","sa3025515",827665
"Andrew Velazquez","TEX",112,373,338,67,47,13,0,7,41,35,23,0,120,2,2,8,3,17,2,0.198225,0.0616622,0.321716,0.191667,0.252055,0.298817,0.244818,0.550871,0.100592,5.83524,0.28169,,2.10564,23.4079,-20.6649,54.5953,2.10564,-0.7,-17.855355501174927,3.4115522503852844,-0.164288,999,,,,,,,242.4,2.164285714,242.4,2.164285714,,,,,,,,,,,,,,,,,,,"Andrew Velazquez","14196",623205
"Will Simpson","TBR",118,491,449,103,68,21,1,13,49,57,35,0,134,2,4,1,4,4,2,0.229399,0.0712831,0.272912,0.261194,0.285714,0.367483,0.285737,0.653198,0.138085,3.28887,0.294118,,-0.71221,47.1253,-10.8902,80.4952,-0.71221,2.5,-11.999650716781616,-6.520429611206055,-0.165814,999,,,,,,,429.6,3.640677966,429.6,3.640677966,,,,,,,,,,,,,,,,,,,"Will Simpson","sa3022530",687310
"Frank Rodriguez","LAD",53,191,174,33,23,7,0,3,19,16,12,0,50,3,1,1,3,0,0,0.189655,0.0628272,0.26178,0.24,0.252632,0.281609,0.240188,0.534241,0.091954,1.89881,0.245902,,-0.250864,11.2683,-11.2998,50.6307,-0.250864,-0.1,-11.426809877157211,3.40896525233984,-0.170169,999,,,,,,,104.3,1.967924528,104.3,1.967924528,,,,,,,,,,,,,,,,,,,"Frank Rodriguez","sa3009330",684491
"Dayan Frias","CLE",119,468,418,83,60,16,1,6,45,39,41,0,138,4,3,2,7,8,5,0.198565,0.0876068,0.294872,0.297101,0.274678,0.284689,0.253271,0.559367,0.0861244,4.02263,0.277978,,-1.14076,32.5815,-22.7163,60.1972,-1.14076,3.6,-23.09571075439453,5.319576621055603,-0.170692,999,,,,,,,291.5,2.449579831,291.5,2.449579831,,,,,,,,,,,,,,,,,,,"Dayan Frias","sa3008768",682679
"Noelvi Marte","CIN",115,466,429,108,74,19,2,13,57,57,29,1,103,5,3,0,9,13,5,0.251748,0.0622318,0.22103,0.281553,0.304721,0.39627,0.304758,0.700991,0.144522,5.35626,0.300633,,-0.153966,51.9225,-3.13902,89.4744,-0.153966,-6.1,-5.967336431145668,-11.236684322357178,-0.17394,999,,,,,,,477.2,4.149565217,477.2,4.149565217,,,,,,,,,,,,,,,,,,,"Noelvi Marte","26517",682622
"Brady Lindsly","WSN",58,207,183,36,27,6,0,3,15,17,15,0,68,1,2,6,3,1,0,0.196721,0.0724638,0.328502,0.220588,0.258706,0.278689,0.241509,0.537395,0.0819672,2.46809,0.289474,,-0.083872,12.4343,-12.0243,51.0467,-0.083872,-0.3,-12.093963779509068,3.502910077571869,-0.174352,999,,,,,,,114.1,1.967241379,114.1,1.967241379,,,,,,,,,,,,,,,,,,,"Brady Lindsly","sa3014942",686251
"Rubel Cespedes","LAA",108,439,410,91,62,19,2,8,39,43,25,0,102,2,2,0,10,1,1,0.221951,0.0569476,0.232346,0.245098,0.268793,0.336585,0.265821,0.605378,0.114634,2.95363,0.274834,,-0.797066,35.0358,-16.8354,66.4799,-0.797066,-0.3,-18.140804886817932,1.313021719455719,-0.175785,999,,,,,,,321.4,2.975925925,321.4,2.975925925,,,,,,,,,,,,,,,,,,,"Rubel Cespedes","sa3008953",686438
"Clark Elliott","ATH",107,444,383,80,56,14,2,8,47,51,46,1,113,11,3,1,5,7,2,0.208877,0.103604,0.254505,0.40708,0.309255,0.318538,0.283873,0.627793,0.109661,4.75261,0.271698,,-0.158422,41.9424,-10.5196,77.2741,-0.158422,-0.1,-12.051009818911552,-4.99417982250452,-0.180421,999,,,,,,,370.9,3.46635514,370.9,3.46635514,,,,,,,,,,,,,,,,,,,"Clark Elliott","sa3019972",686499
"Luis Caicuto","PHI",50,180,163,36,29,6,0,1,14,16,9,0,41,6,1,1,5,1,0,0.220859,0.05,0.227778,0.219512,0.284916,0.276074,0.255284,0.56099,0.0552147,2.86547,0.286885,,-0.0904737,12.8255,-8.44286,58.8523,-0.0904737,-2.2,-8.868811152875423,1.1068782806396484,-0.18143,999,,,,,,,112.3,2.246,112.3,2.246,,,,,,,,,,,,,,,,,,,"Luis Caicuto","sa3016923",691276
"Daniel Vellojin","TBR",75,290,258,47,34,7,1,5,22,24,26,0,85,3,1,2,5,2,1,0.182171,0.0896552,0.293103,0.305882,0.263889,0.275194,0.245425,0.539083,0.0930233,3.43845,0.248521,,-0.425423,18.342,-15.9237,52.7256,-0.425423,-0.5,-16.583763271570206,4.8277482986450195,-0.181573,999,,,,,,,166.2,2.216,166.2,2.216,,,,,,,,,,,,,,,,,,,"Daniel Vellojin","sa3005587",678962
"Juan Benjamin","CLE",97,391,357,81,63,15,1,2,39,31,27,0,98,3,2,2,9,10,3,0.226891,0.0690537,0.250639,0.27551,0.285347,0.291317,0.259297,0.576664,0.0644258,4.81768,0.305019,,0.157492,29.134,-17.0656,64.3487,0.157492,-0.4,-16.272040650248528,1.03665491938591,-0.181891,999,,,,,,,265.2,2.734020618,265.2,2.734020618,,,,,,,,,,,,,,,,,,,"Juan Benjamin","sa3017217",691405
"Travis Swaggerty",,57,215,193,38,27,7,2,2,23,18,20,0,69,1,1,0,2,4,2,0.196891,0.0930233,0.32093,0.289855,0.274419,0.284974,0.25295,0.559393,0.0880829,5.97717,0.292683,,-0.335915,14.912,-10.4919,62.165,-0.335915,3.4,-9.976999670267105,1.0300705432891846,-0.183531,999,,,,,,,135.3,2.37368421,135.3,2.37368421,,,,,,,,,,,,,,,,,,,"Travis Swaggerty","24491",680552
