Name,Age,Level,Team,Pos,Avg Rank,BaGS,FScore,PG+,PL,STS
Quincy Hamilton,27,AAA,HOU,RF,1659.3333333333333,1872,,1865,,1241
Andy Garriola,25,AA,CHC,LF,1659.4,1626,1746,1609,1143,2173
Omar Munoz,17,DSL,COL,OF,1660,,,,,1660
Donte Grant,20,CPX,SDP,CF,1660,,1263,,,2057
Kellen Strahm,28,AAA,HOU,CF,1661.75,1748,1805,964,,2130
Cade Hunter,24,AA,CIN,C,1661.8,1205,2074,1682,981,2367
Cristopher Acosta,17,DSL,MIL,SS,1662,,1444,,,1880
Carlos Martinez,17,DSL,SFG,C,1664,,,,,1664
Tyler Robertson,25,AA,SDP,RF,1664.25,1846,464,2148,,2199
Sebastian Rojas,18,DSL,ATH,CF,1665,,,,,1665
Kendall Simmons,25,AA,LAD,3B,1665.75,1513,,2009,1281,1860
Juan Monso,18,DSL,CHC,CF,1666,,,,,1666
Brenner Cox,21,A+,WSN,LF,1666,1172,2010,1780,905,2463
Julian Brock,24,AA,TEX,C,1667.2,1218,1937,1584,978,2619
Ali Sanchez,28,MLB,BOS,C,1668,1669,,1487,,1848
Joseph Tailor,19,CPX,MIA,2B,1668,,1280,,,2056
Kaden Hollow,24,A+,SDP,1B,1668.4,1479,2040,1460,945,2418
T.J. Schofield-Sam,24,AA,OAK,3B,1668.4,1544,1836,1317,821,2824
Jordan Viars,21,A+,PHI,1B,1668.5,1551,,2147,1354,1622
Luke Ritter,28,AAA,LAA,1B,1669,1752,1989,1579,,1356
Chase Meggers,22,A,NYM,C,1669.3333333333333,1373,,1648,,1987
Carlos Salmeron,17,DSL,ATH,CF,1670,,,,,1670
Curtis Washington Jr.,25,AAA,SEA,CF,1670.2,1840,971,1756,1134,2650
Hudson White,22,A+,BOS,C,1670.8,1249,2185,1614,1084,2222
Drew Jemison,24,AA,TOR,1B,1671,,,,,1671
Brandon Forrester,21,A,HOU,2B,1671.6666666666667,1668,,1997,,1350
Stephen Scott,28,AAA,DET,C,1672.3333333333333,1936,,2126,,955
Johan Fernandez,18,DSL,ARI,C,1672.5,,1411,,,1934
Aldrin Lucas,22,A,KCR,1B,1673,,,1422,,1924
Diosfran Cabeza,22,A,ARI,C,1673.25,1484,,1591,1075,2543
Adrian Rodriguez,21,A+,ARI,SS,1674.2,1253,2145,1375,904,2694
Austin St. Laurent,22,A,SEA,2B,1674.6,1146,1925,953,2426,1923
Cody Milligan,26,AAA,ATL,2B,1674.8,1528,2017,1716,1072,2041
Dalvy Rosario,24,AAA,MIA,CF,1675,1320,,1717,1025,2638
Johan Rodriguez,17,DSL,ATL,1B,1676,,,,,1676
Korey Holland,25,AAA,LAA,RF,1676.5,1587,,1733,1130,2256
Eguy Rosario,25,MLB,SDP,3B,1676.75,1738,,1826,2552,591
Sebastian  Rivero,26,MLB,LAA,C,1678,1584,1930,1260,1082,2534
Carlos Tavares,19,A,WSN,1B,1679.2,1277,2181,2063,1079,1796
Ryan Wrobleski,25,AAA,HOU,C,1681.25,1440,,1917,1138,2230
Ronnyel Espinoza,19,DSL,CHC,3B,1682,,,,,1682
Aaron Pinero,18,DSL,TBR,SS,1683,,1643,,,1723
Randy Flores,24,A+,LAA,2B,1684,,,,,1684
Mason Bolivar,18,CPX,CLE,CF,1685,,,,,1685
Andrick Nava,23,AA,MIL,C,1686.25,1430,1898,1755,,1662
Victor Cardoza,19,A,PHI,CF,1688,,,1298,,2078
Pablo Castillo,17,DSL,MIN,C,1688,,,,,1688
Yandro Hernandez,20,CPX,MIN,CF,1689,,,,,1689
Drew Vogel,23,A+,HOU,SS,1689.5,1610,,1116,1124,2908
Warren Calcano,17,DSL,KCR,SS,1690,,,,,1690
Milkar Perez,23,A+,SEA,1B,1690.5,1625,,1628,1078,2431
Adrian De Leon,21,A+,ARI,C,1690.6,1351,2156,1657,847,2442
Sonny DiChiara,25,AAA,LAA,1B,1691.25,1503,,2075,1296,1891
Justin Johnson,25,AA,KCR,SS,1692,1367,1953,1681,1033,2426
Ariel Castro,19,CPX,MIN,CF,1693.5,,1127,,,2260
Diego Gonzalez,22,AAA,PHI,3B,1693.75,1774,,1832,1002,2167
Ryan McCarty,26,AAA,TOR,SS,1694,1727,2007,1535,1018,2183
Jonierbis Garces,17,DSL,WSN,CF,1694,,,,,1694
Gunner Gouldsmith,23,AA,OAK,SS,1694.75,1810,,1600,961,2408
Michael Brooks,23,A,OAK,3B,1695,1582,,1768,,1735
Alex Birge,22,A,STL,C,1696,,,,,1696
Joshua Mears,24,AA,SDP,RF,1696.25,1379,,1954,2490,962
Moises Morales,17,DSL,MIA,C,1697,,,,,1697
Braden Barry,23,AAA,TOR,CF,1699.25,1566,2048,1582,,1601
Ronaldo Hernandez,27,AAA,NYY,DH,1700.6666666666667,1848,,1860,,1394
Danny Serretti,25,AA,ARI,SS,1701.6,1500,1972,1886,968,2182
Emilio Sanchez,18,DSL,BAL,SS,1702,,1134,,,2270
Jacob Sharp,23,AA,TOR,C,1702.4,1499,2105,2020,1089,1799
Orlando Martinez,27,AAA,TEX,RF,1702.6666666666667,1604,,1729,,1775
Yoyner Fajardo,26,AAA,SEA,LF,1702.6666666666667,1755,,1924,,1429
Jake Thompson,27,AA,MIA,3B,1703,1673,,1926,,1510
John Garcia,24,AA,HOU,C,1703.4,1348,2091,1744,1067,2267
Enyel Rosario,18,DSL,CHC,SS,1704,,,,,1704
Kerrington Cross,23,A,SDP,3B,1704.6666666666667,1496,,1880,,1738
Andy Acevedo,19,CPX,WSN,CF,1707,,1150,,,2264
Gavin Logan,25,AAA,ARI,C,1708.4,1705,2128,1565,825,2319
Edrei Campos,20,A,BAL,3B,1709.4,1470,1786,2045,1316,1930
Jehancarlos Mendez,17,DSL,CHW,SS,1710,,,,,1710
Rodney Green,22,A+,ATH,CF,1710.4,1090,3820,575,855,2212
Pedro Catuy,19,CPX,ARI,CF,1714,,1117,,,2311
Shane McGuire,26,AAA,ATH,C,1714.75,1391,2089,1229,,2150
Moises Acacio,17,DSL,LAD,2B,1715,,,,,1715
Freddy Zamora,26,AAA,MIL,SS,1715,1199,2046,1311,,2304
Tyler Pettorini,22,A,PHI,2B,1717.6666666666667,1534,,1670,,1949
Frainyer Chavez,26,AAA,TEX,3B,1718.8,1585,2109,1223,1013,2664
Eduardo Herrera,18,DSL,CHW,3B,1719.5,,1340,,,2099
Paul Witt,27,AAA,WSN,2B,1720,,,1873,,1567
Jose Ramos,18,DSL,ATH,RF,1721,,1098,,,2344
Abrahan Gutierrez,25,AAA,NYY,C,1722.3333333333333,1307,,1920,,1940
Seth Beer,28,MLB,PHI,1B,1723,1927,,1985,,1257
Armando Cruz,21,A+,WSN,SS,1726.2,1290,1814,1743,1065,2719
Jack Moss,23,A+,CIN,1B,1726.25,1116,2191,1204,,2394
Bryce Willits,25,AA,HOU,3B,1727.75,1618,,1904,1068,2321
Derniche Valdez,19,CPX,CHC,2B,1728,,,,,1728
Jake Steels,23,A+,ATL,CF,1728,1726,,1867,1011,2308
Jose Paulino,19,DSL,KCR,CF,1728,,1261,,,2195
Pierce Bennett,24,A+,PHI,2B,1728,1746,,1805,1141,2220
Maddox Latta,22,A,TOR,2B,1728.6666666666667,1383,,1623,,2180
Kelvin Diaz,22,A+,BOS,2B,1729,1724,,1779,1081,2332
Luis Galan,16,DSL,CLE,SS,1729,,,,,1729
Aaron McKeithan,25,AA,PIT,C,1729.6666666666667,1690,,1952,,1547
Cesar Gonzalez,20,A,ATH,C,1731.3333333333333,,1483,1566,,2145
Blayberg Diaz,22,A+,MIL,C,1732.2,1404,2043,1540,1032,2642
Jacob Gonzalez,23,AAA,CHW,SS,1732.6,728,6175,286,247,1227
Kavares Tears,22,A,SDP,RF,1734.6,1150,1854,860,2567,2242
Devin Mann,28,AAA,KCR,1B,1736.5,1833,2031,1611,,1471
Matt Hogan,25,AAA,CHW,RF,1737,1570,2110,1907,966,2132
Ronaiker Palma,25,AAA,COL,C,1738.5,1634,,1760,996,2564
Kody Hoese,27,AAA,LAD,3B,1738.75,1489,1967,1217,,2282
Edgar Lugo,20,DSL,DET,2B,1739,,1225,,,2253
Will Holland,27,AAA,MIN,SS,1739.5,1722,1721,1547,,1968
Nathan Humphreys,22,A,PHI,OF,1740.3333333333333,1115,,1730,,2376
Enmanuel Figuereo,17,DSL,BOS,CF,1742,,,,,1742
Carlos De La Cruz,25,AAA,WSN,RF,1748,1267,,1234,2347,2144
Alexander Rincon,18,DSL,BAL,CF,1749,,,,,1749
Jeremiah Boyd,24,AAA,ARI,C,1750,,2192,1395,,1663
Kamuel Villar,17,DSL,COL,SS,1750.5,,1121,,,2380
James Quinn-Irons,22,A,TBR,OF,1752,,,,,1752
Eriandys Ramon,22,AA,CHC,3B,1753,1801,1959,1850,894,2261
Blake Robertson,24,A+,TBR,1B,1753.2,1504,2108,1821,1137,2196
Terrell Tatum,25,AA,CHW,RF,1753.5,1804,,2058,1415,1737
Sam Robertson,20,A,NYM,3B,1753.6666666666667,1339,,2086,,1836
Connor Burns,23,AA,CIN,C,1755.8,1362,2176,1413,982,2846
Jaden Rudd,22,A+,TOR,LF,1756,,,,,1756
Nick Podkul,28,AAA,CHW,3B,1756.3333333333333,1952,,2124,,1193
Sebastian De Andrade,19,CPX,SEA,C,1758,,1355,,,2161
Cameron Nickens,21,A,STL,OF,1760,,,,,1760
Jose Sanabria,22,AAA,SDP,2B,1760,1478,,1587,1326,2649
Yoander Santana,17,DSL,PIT,SS,1762,,1641,,,1883
Omar Hernandez,23,AA,KCR,C,1763.4,1557,1729,1571,1077,2883
Anyelo Marquez,19,CPX,LAA,2B,1766,,1356,,,2176
Angel Garcia,18,DSL,BAL,CF,1768,,,,,1768
Zach Arnold,24,AA,PHI,3B,1768.5,1715,,1539,1073,2747
Elvin Garcia,18,CPX,BAL,SS,1768.5,,1623,,,1914
Emilio Barreras,21,A,MIA,2B,1771,1473,,1937,,1903
Jimmy Herron,28,AAA,MIL,LF,1771.3333333333333,1863,,1706,,1745
Haydn McGeary,25,AA,CHC,1B,1773,1461,1889,2062,,1680
Matt Higgins,25,AA,SFG,1B,1775.3333333333333,1569,,1893,,1864
Pedro Blanco,18,CPX,ARI,LF,1776,,1517,,,2035
Wilton Lara,21,A+,HOU,SS,1776.3333333333333,,1602,1399,,2328
Alessander De La Cruz,19,CPX,COL,RF,1776.5,,1327,,,2226
Brady Allen,25,AA,DET,CF,1777.3333333333333,1558,,2056,,1718
Andy Weber,27,AAA,ARI,SS,1778.6666666666667,1702,,1136,,2498
Yannic Walther,21,A,MIL,C,1779.5,1603,,1776,1061,2678
Michael Trautwein,25,AAA,CIN,C,1784.5,1328,2030,1958,,1822
Cooper Johnson,27,AAA,TEX,C,1785,1550,,1412,,2393
Jhoan Peguero,19,CPX,BOS,CF,1785,,,,,1785
Naibel Mariano,18,DSL,CIN,SS,1785.5,,1313,,,2258
Raimel Medina,20,CPX,KCR,CF,1785.5,,1592,,,1979
Patrick Lee,25,AA,DET,CF,1786.6,1797,1009,1798,2575,1754
Rendy Naveo,17,DSL,MIA,2B,1787,,,,,1787
Luis De Los Santos,27,MLB,NYM,3B,1787.6666666666667,1767,,1691,,1905
German Ortiz,20,A,ATH,1B,1788,1303,2071,1356,,2422
Lisandro Sanchez,17,DSL,BAL,CF,1789,,1192,,,2386
Cole Urman,23,AA,BAL,C,1789,1606,,1803,1024,2723
Anielson Buten,19,CPX,CIN,LF,1790.5,,1329,,,2252
Mike Jarvis,27,AAA,PIT,3B,1792,1891,818,1720,,2739
Diego Alambarrio,17,DSL,SFG,C,1793,,,,,1793
Nomar Fana,22,A,DET,CF,1794.25,1832,,1759,1430,2156
Eli Wilson,26,AAA,PIT,C,1794.3333333333333,,1988,1927,,1468
Jackson Nicklaus,22,A+,LAD,SS,1795,1465,,1771,1091,2853
Samuel Gonzalez,18,DSL,ATH,2B,1795,,,,,1795
Moises Marchan,17,DSL,KCR,C,1795,,1492,,,2098
Edgardo Ordonez,21,A,MIL,C,1796.25,1583,1981,1989,,1632
Diego Hernandez,24,AA,KCR,CF,1797.5,1590,,1808,1355,2437
Abel Valdes,18,DSL,TEX,C,1798,,,,,1798
Luke Napleton,23,A+,MIN,C,1800.6666666666667,1433,,1975,,1994
Darren Baker,26,MLB,WSN,2B,1801,1523,,1410,,2470
Jacob Lojewski,23,A+,TOR,SS,1803.5,1867,,1863,1347,2137
Clayton Campbell,21,A,DET,1B,1804.5,1495,2159,1376,,2188
Reinaldo De La Cruz,19,DSL,ATH,2B,1806,,,,,1806
Kevin Morillo,18,DSL,BOS,C,1807,,,,,1807
Caleb Bartolero,25,A,LAA,3B,1808.6,1699,993,1928,2650,1773
Yoxander Benitez,18,DSL,SFG,SS,1809,,,,,1809
Yorger Bautista,17,DSL,SEA,CF,1809,,1472,,,2146
Jordan Dissin,23,AA,PHI,C,1809.4,1653,2186,1978,924,2306
Cameron Barstad,24,AA,CLE,C,1809.8,1435,2180,1819,1133,2482
Johnathon Thomas,25,AA,WSN,LF,1812.75,1695,,1712,1088,2756
Jeral Toledo,22,A,PIT,2B,1814.25,1689,,1735,1322,2511
Jose Caguana,23,AA,SEA,C,1814.6,1497,1853,1421,2514,1788
Chase Valentine,23,AAA,SDP,SS,1815,1778,,1647,1019,2816
Sam Biller,22,A,NYM,OF,1815,,,,,1815
Tyresse Turner,25,AA,CLE,SS,1815.2,1706,1664,1972,1172,2562
Maxwell Romero Jr.,24,AA,WSN,C,1815.8,1368,2162,1815,1129,2605
Bryan Gonzalez,23,AA,KCR,1B,1816.75,1443,,1524,2554,1746
Yeycol Soriano,19,CPX,CIN,CF,1817.5,,1323,,,2312
Will Cresswell,21,A,TOR,C,1818,,,,,1818
J.T. Arruda,27,AAA,SEA,SS,1818.5,1729,2073,1294,,2178
Evan Edwards,28,AAA,LAA,1B,1819.3333333333333,1957,,2103,,1398
Yeremi Villahermosa,22,AA,LAA,C,1820,,,,,1820
Kaleb Freeman,22,A,CHW,OF,1820.3333333333333,1630,,1925,,1906
Adrian Bello,19,DSL,MIA,C,1820.5,,1264,,,2377
Maverick Handley,27,MLB,BAL,C,1821.5,1411,2160,1676,,2039
Daniel Rogers,23,A,SFG,C,1822.3333333333333,1517,,1773,,2177
Shawn Goosenberg,25,AA,CHW,SS,1822.6666666666667,1691,,2121,,1656
Jorge Ramirez,19,DSL,SFG,C,1824,,,,,1824
Dustin Crenshaw,23,A,SEA,2B,1824.25,1815,1893,1174,,2415
Juan Montero,23,AA,BOS,C,1825.3333333333333,1481,,1994,,2001
Victor Torres,24,AA,MIL,C,1826,,,,,1826
Justin Janas,24,A+,ATL,1B,1826.6,1413,1690,1630,2436,1964
Dariel Garcia,18,DSL,COL,SS,1827,,1625,,,2029
Eliezer Rivero,20,A,LAA,C,1827.5,,,1250,,2405
Kay-Lan Nicasia,23,A+,MIL,SS,1830,1493,2544,1686,1040,2387
Junior Aybar,18,DSL,BAL,CF,1830,,,,,1830
Isaac Pena,21,A,MIN,3B,1831,,,1723,,1939
Austin Deming,25,AA,HOU,3B,1832,1565,,2071,1356,2336
Carter Howell,26,AA,ATL,CF,1832,1708,1679,1727,,2214
Moises Gomez,26,AAA,SDP,RF,1834.5,1526,,1718,2382,1712
Kalae Harrison,23,AA,PIT,2B,1835.5,1681,,1916,1301,2444
Freider Rojas,19,CPX,MIL,C,1837,,,,,1837
Athanael Duarte,20,CPX,LAA,SS,1838,,1563,,,2113
Gabriel Cesa,18,DSL,ATL,CF,1838,,1216,,,2460
Victor Garcia,17,DSL,CHC,C,1838,,,,,1838
Fernando Cruz,18,CPX,CHC,SS,1839,,1293,,,2385
Andy Yerzy,26,AAA,STL,C,1840,1542,,1941,2551,1326
Daniel Rojas,19,CPX,STL,3B,1840,,,,,1840
Paulo Asprilla,19,CPX,STL,C,1841,,,,,1841
Tom Poole,22,A,TBR,1B,1841,1355,,1945,,2223
Luis Arias,19,CPX,WSN,2B,1843,,,,,1843
Javier Francisco,22,AAA,SFG,SS,1843,,,2055,,1631
Michael Turner,26,AA,CHW,C,1843.5,1341,1960,1946,,2127
Hendry Alcala,18,DSL,CHW,OF,1844,,,,,1844
Jurdrick Profar,18,CPX,CHW,SS,1844.5,,1527,,,2162
J.D. Gonzalez,19,A,TBR,C,1846.6,1366,2193,2048,1279,2347
Weston Eberly,24,AAA,CHW,C,1846.6666666666667,1579,,2072,,1889
Joel Dragoo,22,A+,PHI,RF,1849.6,1567,2198,1834,1010,2639
Adrian Hoyte,19,DSL,DET,OF,1854,,,,,1854
Mikey Kane,23,A,CHW,1B,1854.25,1784,,1656,2485,1492
Angel Ramirez,20,DSL,KCR,OF,1856,,,,,1856
Cole Turney,26,A+,DET,LF,1857.5,,1790,,,1925
D'Angelo Tejada,19,CPX,CHW,SS,1857.5,,1210,,,2505
Jimmy Obertop,25,A+,COL,C,1859,1692,,1891,1307,2546
Stephen Hrustich,23,A,DET,LF,1860.5,1444,,1510,2406,2082
Chris Brito,25,AAA,KCR,1B,1860.6,1560,2103,1857,2523,1260
Kyle Hess,26,AA,MIN,CF,1861.4,1870,2002,1892,1132,2411
Jhonayker Ugarte,18,CPX,KCR,3B,1861.5,,1622,,,2101
Mitchell Daly,24,AAA,LAA,2B,1862.75,1742,,1856,988,2865
Juan Perez,20,A,SFG,C,1863.6,1197,2202,1930,1126,2863
Trevor Werner,24,A+,KCR,3B,1863.6,1675,955,1516,2623,2549
Roger Lasso,21,A,LAD,CF,1864,1311,,1618,,2663
Sebastian Baquera,18,CPX,TEX,C,1865,,,,,1865
Arturo Disla,24,A+,TEX,1B,1865.5,1488,,1452,2569,1953
Moises Bolivar,17,CPX,LAD,SS,1867.5,,1578,,,2157
Mani Cedeno,16,DSL,NYY,SS,1867.5,,1382,,,2353
Elerick Gomez,17,DSL,CHC,3B,1868,,,,,1868
Cooper McMurray,23,A+,ATL,1B,1868.6666666666667,1532,,2132,,1942
Fabian Dorta,17,DSL,DET,1B,1869,,,,,1869
Kevin Verde,19,CPX,NYY,3B,1871,,,,,1871
Colby Shelton,22,A,CHW,SS,1873,1874,1764,2033,1417,2277
Christian Fagnant,24,A,WSN,C,1875,,,,,1875
Jared McKenzie,24,AA,WSN,CF,1875.2,1658,1886,1836,1155,2841
Luis Leones,22,A,CIN,CF,1876.5,1677,,1732,1136,2961
Nick Raposo,27,AAA,SEA,C,1877.3333333333333,1728,,1781,,2123
Christopher Paciolla,21,A+,CHC,SS,1877.75,1361,1894,1526,,2730
Ismael Mejia,16,DSL,ARI,C,1878,,,,,1878
Remy Veldhuisen,20,DSL,NYY,CF,1878.5,,1209,,,2548
C.J. Pittaro,23,A+,ATH,SS,1883,1765,2107,1590,1117,2836
Ryan Johnson,24,AAA,HOU,SS,1883.25,1238,1987,1597,,2711
Cal Stark,22,A+,TEX,C,1884,1491,,2042,1382,2621
Luis Mendez,22,A,COL,SS,1884.6666666666667,,1756,1359,,2539
Justin Stransky,22,A,CHC,C,1885.3333333333333,1670,,2043,,1943
Tucker Mitchell,24,AAA,TEX,C,1885.6,1688,2067,2040,1160,2473
Nic Kent,25,AA,COL,SS,1885.6,1613,1999,1868,1108,2840
Nicolas Deschamps,22,AA,TOR,C,1885.75,1297,2129,2136,,1981
Cristian Montilla,17,DSL,MIL,2B,1887,,,,,1887
Anthony Longo,18,DSL,KCR,C,1890,,,,,1890
C.J. Stubbs,28,MLB,TOR,C,1891,1916,,1980,,1777
Jose Montilla,17,DSL,KCR,C,1894,,1449,,,2339
Jhomnardo Reyes,17,DSL,MIN,CF,1894.5,,1487,,,2302
Emil Turbi,20,AAA,SDP,SS,1895,,,1221,,2569
Juan Tomas,17,DSL,CHC,SS,1895.5,,1167,,,2624
Sammy Sass,24,A,CHC,C,1896,,,,,1896
Kyle Dernedde,24,AAA,CLE,SS,1901,1894,,1976,912,2822
Fernando Pena,18,DSL,SFG,C,1901,,,,,1901
Drew Ehrhard,26,AA,BOS,1B,1901.75,1780,2093,1900,,1834
Colin Davis,26,AAA,SEA,CF,1903.25,1787,1802,1788,,2236
Imanol Vargas,27,AA,PIT,1B,1904.3333333333333,1886,,2024,,1803
Colby Smelley,25,AA,CHW,C,1905.3333333333333,1358,,1967,,2391
Luis Puello,19,CPX,NYY,C,1906,,1255,,,2557
Cardell Thibodeaux,21,A,SDP,OF,1906,1772,,2115,,1831
Bobby Boser,22,A,ATH,SS,1906,1374,2148,1824,,2278
Yeral Martinez,22,A,MIA,RF,1906.3333333333333,1741,,1778,,2200
Jack Rogers,26,AAA,WSN,LF,1907,1537,1966,1742,2420,1870
Meylin De Leon,18,CPX,PHI,3B,1908,,,,,1908
Cole Roberts,24,AA,PHI,SS,1914,1869,,2038,1292,2457
Vaun Brown,27,AA,SFG,LF,1914,1853,,1906,,1983
Roiber Niazoa,20,A,ATL,1B,1915.75,1648,,2081,1358,2576
Samil Dishmey,19,CPX,LAA,OF,1918,,,,,1918
Wandi Feliz,17,DSL,COL,CF,1919,,,,,1919
Anderson Suriel,22,A,CHC,RF,1920.5,1887,,2118,1414,2263
Jesus Alexander,19,CPX,SFG,1B,1921,,,,,1921
Jose Tovar,19,CPX,TBR,C,1922,,,,,1922
Jake Snider,27,AA,TEX,OF,1922.6666666666667,1914,,1877,,1977
Griffin Lockwood-Powell,27,AA,LAD,1B,1923.75,1698,2079,1777,,2141
Bryan Martinez,19,CPX,LAA,1B,1924.5,,1348,,,2501
Grant Magill,24,A+,CHW,C,1925.25,1937,,1855,1357,2552
Kevin Sim,23,A+,ARI,1B,1925.5,1664,,1951,1350,2737
Carlos Rondon,19,DSL,NYY,C,1926,,1178,,,2674
Heison Sanchez,20,DSL,DET,2B,1926,,,,,1926
David Smith,24,A,DET,2B,1927.8,1921,1916,1844,1413,2545
Elian De La Cruz,17,DSL,ARI,CF,1931,,,,,1931
Ricardo Genoves,26,AAA,TBR,C,1931.3333333333333,1777,,2079,,1938
R.J. Yeager,26,AA,STL,1B,1932,1789,,1802,,2205
Emilio Gonzalez,17,DSL,HOU,C,1932,,,,,1932
Donta' Williams,26,AAA,WSN,CF,1935.5,1898,,2070,1395,2379
Tyler Herron,22,A+,TBR,C,1937.5,,,1998,,1877
Eduarlin Tejeda,20,DSL,SDP,2B,1939,,1267,,,2611
Charles Mack,25,AA,WSN,SS,1941,,,,,1941
Willy Fanas,21,A,NYM,RF,1941,1686,,2031,1389,2658
Brendan Durfee,23,A+,SDP,C,1944,1181,2173,1469,2490,2407
Rony Bello,17,DSL,WSN,2B,1944,,,,,1944
Jalen Battles,25,AAA,TBR,SS,1944.2,1718,2077,2092,1370,2464
Gabriel Silva,21,A,KCR,C,1944.5,1462,1858,1875,,2583
Gabriel Rosado,19,CPX,DET,C,1946,,,,,1946
Peter Burns,25,A+,LAA,C,1946.6666666666667,1739,,1961,,2140
George Bilecki,21,A,SDP,OF,1947.3333333333333,1751,,2122,,1969
Luis Pineda,23,A+,CHW,C,1947.3333333333333,1342,,1843,,2657
Kelvin Diaz,22,A,WSN,SS,1948.25,1723,,1874,1318,2878
Ayden Johnson,17,DSL,ATH,SS,1949,,1469,,,2429
Randy Martinez,18,DSL,CLE,2B,1950.5,,1542,,,2359
Alberto Rios,23,A+,LAA,DH,1950.8,1807,2161,1884,1139,2763
Alfred Ciriaco,18,DSL,NYY,2B,1951,,,,,1951
Connor Kaiser,28,MLB,ARI,SS,1951.25,1820,2083,1530,,2372
Marcos Terrero,19,DSL,NYM,C,1952,,,,,1952
Duncan Pastore,25,AA,NYY,3B,1952.3333333333333,1735,,2030,,2092
Enderso Lira,21,AAA,BOS,C,1953,,2187,,,1719
Michael Turconi,26,AAA,TOR,2B,1953.25,1902,,2140,1339,2432
Peyton Carr,23,A+,MIN,3B,1953.25,1754,,1457,2239,2363
Iverson Espinoza,22,A+,CIN,2B,1953.6666666666667,1745,,1830,,2286
Dayne Leonard,25,A,CIN,C,1954,,,1902,,2006
Eduardo Guillen,17,DSL,PHI,OF,1954.5,,1373,,,2536
Angel Requena,18,DSL,WSN,3B,1956,,,,,1956
Jordan Thompson,23,A+,LAD,SS,1957,1508,1817,1347,2529,2584
Joshua Francis,18,DSL,SEA,2B,1959,,,,,1959
Bennett Hostetler,27,AAA,MIA,3B,1959.25,1779,1743,2008,,2307
Cortland Lawson,25,AA,WSN,SS,1960.8,1710,2112,1909,1152,2921
Devin Ortiz,26,AA,CHC,3B,1961,1514,,1583,,2786
Brennon McNair,22,A,KCR,SS,1964.5,1685,,1156,2542,2475
Daiber De Los Santos,18,CPX,MIN,SS,1964.5,,1296,,,2633
Anthony Vilar,26,AA,SDP,C,1964.5,1620,1996,1796,,2446
Josh Crouch,26,AA,LAA,C,1965,1501,2099,1806,,2454
Spencer Bramwell,26,AAA,MIA,C,1965,1852,2167,2053,1422,2331
Hudson Haskin,26,AAA,BAL,LF,1966,1770,2154,2012,,1928
Trevor Haskins,22,A,STL,2B,1966,,,,,1966
Jason Hernandez,19,DSL,SDP,2B,1967,,,,,1967
Cristopher Polanco,17,DSL,TOR,SS,1967.5,,1499,,,2436
Cesar Acosta,16,DSL,NYM,C,1968.5,,1435,,,2502
Trey Faltine,24,AAA,CIN,CF,1968.8,1577,2001,2111,1300,2855
Cristian Perez,18,DSL,DET,CF,1970,,,,,1970
Diego Natera,17,DSL,CHW,C,1971,,,,,1971
Dionmy Salon,23,AA,KCR,C,1972.75,1900,2131,1570,,2290
Nick Kahle,27,AAA,MIL,C,1972.75,1641,2184,2022,,2044
Sam Praytor,26,AA,MIA,C,1974.75,1642,2054,1929,,2274
Christofer Reyes,17,DSL,NYY,2B,1975,,,,,1975
Luke Gold,24,A+,DET,1B,1975.5,1672,,1831,2588,1811
JoJo Jackson,22,A,NYY,CF,1978,,,,,1978
Carlos Gutierrez,21,A,CLE,RF,1978,,,1749,,2207
Fabelin Volquez,17,DSL,TEX,3B,1980,,,,,1980
Ian Farrow,22,A,PIT,CF,1984.5,1399,,1518,2430,2591
Antonio Gomez,23,AA,NYY,C,1984.6666666666667,1596,,2041,,2317
Keiver Garcia,18,DSL,NYM,SS,1985,,,,,1985
Facundo Velasquez,19,CPX,STL,CF,1985.5,,1285,,,2686
Jose De La Cruz,23,A,DET,CF,1985.5,1888,,2098,1433,2523
Francisco Vilorio,18,DSL,NYY,CF,1986,,1307,,,2665
Sandy Luciano,18,DSL,KCR,CF,1986,,,,,1986
Darlyn Montero,23,A+,OAK,1B,1986.75,1731,,1905,1351,2960
David Bañuelos,28,MLB,BAL,C,1989,1947,,2134,,1886
Rayner Herrera,17,DSL,BAL,OF,1989,,,,,1989
Jean Perez,23,AAA,COL,SS,1990,1771,1075,1632,2600,2872
Hunter Dobbins,22,A+,DET,C,1992.5,,,2073,,1912
Carter Mathison,22,A,PHI,RF,1992.6,1418,1978,1433,2457,2677
Carson Jones,24,A+,SEA,CF,1993,1814,914,1864,2637,2736
Yensi Rivas,18,DSL,NYM,SS,1995,,,,,1995
Carlos Caro,20,A,PIT,2B,1997.6,1553,2143,1549,2546,2197
Cade Bunnell,28,AAA,ATL,SS,1997.6666666666667,1880,,1866,,2247
Ethan Hearn,24,AA,CHC,C,1997.8,1324,2065,1669,2452,2479
Santiago Ramos,18,DSL,ARI,C,1998,,,,,1998
Andrew Sojka,24,A+,STL,OF,1998.3333333333333,1819,,2060,,2116
Carter Young,24,AAA,BAL,SS,1998.4,1808,2125,2013,1128,2918
Wyatt Henseler,23,A+,WSN,3B,2002,,,1957,,2047
Isael Arias,19,CPX,NYY,CF,2002,,,,,2002
Brayden Jobert,24,A+,STL,CF,2002.5,1535,,1522,2518,2435
Meykel Baro,16,DSL,BAL,SS,2004,,,,,2004
Belfi Rivera,18,DSL,ARI,CF,2004.5,,1161,,,2848
Jonny Butler,26,AA,OAK,LF,2005,1835,,1977,,2203
