Name,Age,Level,Team,Pos,Avg Rank,BaGS,FScore,PG+,PL,STS
Daniel Rodriguez,17,DSL,TEX,3B,1289.5,,1228,,,1351
Jeremy De La Rosa,23,AA,WSN,RF,1290.5,1186,,1525,940,1511
Tate Southisene,18,A,ATL,2B,1291,629,,2087,,1157
Bill Knight,25,AA,SEA,LF,1291.6,1124,748,1471,1036,2079
Max Ferguson,25,AAA,BOS,3B,1292.8,1168,1693,1105,787,1711
Anibal Salas,19,CPX,DET,RF,1295,,1151,,,1439
Miguel Santos,24,AAA,CHW,2B,1296.25,1858,,1082,480,1765
Oliver Tejada,18,CPX,SFG,CF,1297,,1626,,,968
Keyber Rodriguez,24,AAA,TEX,SS,1299,1077,931,1365,806,2316
Alfredo Benzan,18,DSL,ARI,SS,1299,,1109,,,1489
Kyle Walker,22,A,HOU,2B,1299,1236,,1480,,1181
Frank Mieses,17,DSL,CHW,CF,1299,,1207,,,1391
Alejandro Cruz,18,DSL,CHW,3B,1299.5,,1489,,,1110
Josh Kasevich,24,AAA,TOR,SS,1299.5,1410,879,1264,,1645
Dru Baker,25,AAA,CHW,SS,1299.8,1427,800,1650,1030,1592
Neurelin Montero,19,DSL,TEX,C,1300,,,,,1300
Bryce Martin-Grudzielanek,22,A,NYY,2B,1300.6666666666667,1232,,1572,,1098
Michell Ojeda,18,CPX,PIT,3B,1301,,,,,1301
Saul Gomez,17,DSL,BAL,3B,1302,,,,,1302
Luke Shliger,23,A+,SFG,C,1303.2,816,2009,1069,915,1707
Daniel Lopez,19,CPX,KCR,CF,1304,,1269,,,1339
Andrew Navigato,27,AAA,DET,SS,1304.5,1694,848,1538,,1138
Freuddy Batista,25,AA,HOU,C,1304.8,1096,1752,1279,689,1708
Canon Reeder,22,A,PIT,OF,1305,,,,,1305
Luis Fragoza,18,CPX,MIN,CF,1305,,1551,,,1059
Andres Torres,18,DSL,TBR,C,1307,,,,,1307
Trent Youngblood,23,A,ARI,CF,1307.2,1162,1734,1018,838,1784
Ediel Rivera,19,A,NYY,C,1309,916,1796,969,,1555
Sheng-En Lin,19,CPX,CIN,3B,1309.5,,1116,,,1503
Tyler Tolbert,27,MLB,KCR,SS,1309.5,1487,274,1604,,1873
Kegnnalex Seijas,19,DSL,MIL,C,1310,,,,,1310
Guillermo Batista,18,DSL,DET,SS,1312,,1657,,,967
Eric Genther,23,A,NYY,OF,1313,1233,,1483,,1223
Josh Caron,21,A+,SEA,C,1313.2,1108,1661,774,954,2069
Darwin De Leon,21,CPX,HOU,SS,1313.5,,1172,,,1455
Jesus Superlano,19,A,OAK,3B,1313.6666666666667,961,,865,,2115
Douglas Glod,20,A,ATL,CF,1314,729,2061,1051,772,1957
Emiliano Galan,18,DSL,TBR,CF,1314,,,,,1314
Yosander Asencio,20,A,BOS,LF,1314,978,,1420,938,1920
Liosward Marin,19,CPX,BOS,C,1315,,,,,1315
Victor Ortega,21,A,MIA,C,1315.4,956,2057,1189,674,1701
Jairo Diaz,20,A,CHC,C,1315.6666666666667,,1604,782,,1561
Ethan Wagner,19,CPX,HOU,CF,1317,,,,,1317
Yanki Baptiste,20,A,CLE,1B,1318,,,,,1318
Graysen Tarlow,23,AA,STL,C,1318.2,964,2194,1096,719,1618
Rowdey Jordan,26,AAA,HOU,CF,1318.25,1616,,1807,1123,727
Darell Morel,17,DSL,PIT,SS,1319.5,,1638,,,1001
Charlie Szykowny,25,A+,SFG,3B,1319.6,1215,831,1228,1114,2210
Estuar Suero,19,A,PIT,CF,1319.6666666666667,,1482,1027,,1450
Cole Conn,23,AA,ATH,C,1320.2,998,1957,1130,785,1731
Angel Diaz,21,A+,LAD,C,1320.4,1149,2075,913,637,1828
Jose Cordova,25,AAA,COL,1B,1321.5,1167,,1709,857,1553
Max Holy,22,A+,HOU,SS,1321.8,1219,1724,797,805,2064
