Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Jesus Carrera,20,A,HOU,213.33333333333334,,,336,139,165
Braxton Roxby,26,AAA,SFG,213.75,,101.5,,,326
Riley Martin,27,AAA,CHC,216.25,,192.5,,,240
Ubaldo Soto,18,A,LAA,216.66666666666666,,,162,114,374
Daniel Espino,24,AAA,CLE,217,,,,,217
Eduarniel Núñez,26,MLB,ATH,217,,10,,375,266
Jostin Florentino,20,A,CHC,217.5,96,439.5,209,106,237
Lucas Braun,23,AAA,ATL,218.1,408,452.5,16,54,160
Nate Lavender,24,AAA,TBR,220,,,,,220
Jackson Ferris,21,AA,LAD,220,228,559,38,181,94
Bryce Mayer,23,AA,HOU,226.5,308,314.5,299,86,125
JR Ritchie,22,AAA,ATL,226.5,597,337.5,7,73,118
Michel Otanez,27,MLB,ATH,228.75,,327.5,,,130
Alex Carrillo,28,MLB,NYM,230.75,,119.5,,,342
Hayden Mullins,24,AA,BOS,231.7,280,361.5,168,206,143
Dasan Hill,19,A+,MIN,232.2,133,297,244,211,276
McCade Brown,24,MLB,COL,233.7,274,158.5,233,132,371
Jose Espada,28,MLB,SDP,234.25,,110.5,,,358
Lucas Elissalt,20,A+,DET,234.9,100,382.5,101,198,393
Henry Baez,22,AA,ATH,236.3,159,592.5,88,190,152
Boston Bateman,19,A+,BAL,236.6,110,615,114,153,191
Ruddy Gomez,25,A+,MIN,237.16666666666666,,61.5,,297,353
Javen Coleman,23,A+,TOR,239.66666666666666,,34,,268,417
Jaden Hill,25,MLB,COL,241.5,,184,608,77,97
Sheng-En Lin,19,A,CIN,247.66666666666666,,,156,98,489
Trent Harris,26,AAA,SFG,248.75,,187.5,,,310
Sam Tookoian,22,A+,LAA,249,,,,,249
Tyson Hardin,23,AA,MIL,249.4,270,552,283,69,73
Bradgley Rodriguez,21,MLB,SDP,255.5,,158.5,,442,166
John Holobetz,22,AA,BOS,256.1,408,644.5,49,48,131
Anderson Brito,20,A+,TBR,256.9,34,609.5,410,165,66
Sterling Patick,20,A+,LAD,259.8,224,445,115,168,347
Craig Yoho,25,MLB,MIL,265.6666666666667,,22,,641,134
Sean Sullivan,22,AA,COL,265.75,164,538,118,,243
Andrew Hoffmann,25,MLB,ARI,266.3333333333333,,269,,337,193
Keyner Martinez,20,A,SFG,267,,,229,251,321
Ryan Gallagher,22,AA,MIN,269.6,324,848,52,39,85
Brandon Sproat,24,MLB,MIL,269.7,325,422.5,47,510,44
Luke Sinnard,22,A+,ATL,271,502,277,223,125,228
Pierson Ohl,25,MLB,COL,271.6,464,196,316,146,236
